"band","site","sex","nest","mate_band","ci","eggs","hatched","day_12","success","nest_fate","notes","nest_attempt"
"2850-57869","Blue Cloud","F","4","2850-57659","2022-05-22","2","2","2","Y","fledged","",1
"2850-57572","Blue Cloud","F","16","2850-57901","2022-05-22","2+","0","0","N","fell","nest failed before clutch completion, not confirmed at this nest",1
"2850-57612","Blue Cloud","F","18","2640-97548","2022-05-11","5","5","5","Y","fledged","female at nest 18(?)",1
"2850-57870","Blue Cloud","F","19","2850-57565","2022-05-21","3","3","0","N","failed","caught in shed",1
"2850-57871","Blue Cloud","F","22","2850-57614","2022-05-15","3","2","2","Y","fledged","",1
"2850-57885","Blue Cloud","F","26","2870-64905","2022-06-14","4","0","0","N","unhatched","ci estimated",1
"2850-57886","Blue Cloud","F","27","UNB","2022-06-23","4","4","4","N","failed","ci estimated, nestlings died after we moved nest to back stall of barn ~D17",1
"2850-57667","Cathy's","F","1","2850-57666","2022-06-07","5","0","0","N","unhatched","",1
"2850-57585","CHR","F","4","2811-83208","2022-05-31","4","3","3","Y ","fledged","",1
"2850-57584","CHR","F","7","unknown","2022-06-04","5","4","0","N","predated","",1
"2870-64908","CHR","F","11","2850-57733","2022-06-25","4","3","3","Y","fledged","not confirmed but male at #11 was with UNB female so it is most likely this female",1
"2850-57650","CHR","F","25","2850-57881","2022-05-23","6","4","4","Y","fledged","",1
"2640-97331","CHR","F?","29","2850-57808","2022-05-18","5","5","4","Y","fledged","estimated CI",1
"2640-97358","CHR","F","32","2850-57731","2022-05-13","5","5","5","Y","fledged","estimated CI",1
"2850-57586","CHR","F","33","2850-57669","2022-05-31","5","0","0","N","unhatched","not confirmed because both birds at #33 were UNB and then eggs were never hatched. Possible new clutch laid in same nest so likely it was the same pair there the whole time. Ibutton",1
"2850-57735","CHR","F","37","2850-57806","2022-05-18","5","5","3","Y","fledged","estimated CI; only 2 fledged",1
"2850-57649","CHR","F","39","2850-57620","2022-05-31","4","4","4","Y","fledged","",1
"2850-57736","CHR","F","43","2850-57567","2022-05-29","5","5","4","Y","fledged","",1
"2850-57571","CHR","F","58","2850-57579","2022-05-24","4","3","3","Y","fledged","",1
"2850-57652","CHR","F","66","2850-57581","2022-05-22","3","3","3","Y","fledged","",1
"2850-57670","CHR","F","73","2850-57671","2022-06-04","5","5","5","Y","fledged","1N found dead on day 14",1
"2850-57746","CHR","F","74","2850-57582","2022-05-30","4","3","3","Y","fledged","",1
"2850-57737","CHR","F","76","UNB","2022-06-07","5","0","0","N","predated","",1
"2850-57696","CHR","F","77","UNB","2022-05-13","5","3","3","Y","fledged","estimated CI",1
"2850-57656","CHR","F","78","2850-57744","2022-06-08","5","5","5","Y","fledged","",1
"2850-57654","CHR","F","80","2850-57580","2022-06-01","4","4","4","Y","fledged","estimated CI",1
"2850-57655","CHR","F","82","2850-57745","2022-05-26","5","1","0","N","predated","",1
"2850-57882","CHR","F","85","2811-82969","2022-05-30",NA,NA,NA,"Y","fledged","was unable to check nest after CI because of horse in stall, but saw 3N begging from outside the nest",1
"2850-57588","CHR","F","86","2850-57653","2022-05-31","4","0","0","N","unhatched","",1
"2850-57730","CHR","F","93","2640-97588","2022-05-14","5","5","5","Y ","fledged","estimated CI",1
"2850-57568","CHR","F","96","2850-57806","2022-05-18","5","5","4","Y","fledged","estimated CI",1
"2850-57583","CHR","F","97","2850-57589","2022-05-28","5","5","5","Y","fledged","",1
"2850-57883","CHR","F","99","2850-57578","2022-06-06","5","5","5","Y","fledged","",1
"2811-38984","CHR","F","102","2640-97589","2022-05-16","5","3","3","Y","fledged","ci estimated",1
"2850-57846","CHR","F","110","2850-57742","2022-05-21","4","4","4","Y","fledged","estimated CI",1
"2850-57879","CHR","F","112","2850-57647","2022-06-05","5","4","4","Y","fledged","",1
"2870-65003","CHR","F","128","2850-57577","2022-06-10","4","4","4","Y","fledged","",1
"2850-57648","CHR","F","133","2850-57570","2022-06-10","3","1","1","Y","fledged","",1
"2870-65004","CHR","F","145","UNB","2022-06-27","3","3","3","Y","fledged","",1
"2870-64909","CHR","F","148","2850-57582","2022-07-30","5","5","5","Y","fledged","1N found dead after others fledged ",1
"2850-57637","Cooks","F","2","2850-57633","2022-05-23","5","1","1","Y","fledged","ibutton nest",1
"2850-57575","Cooks","F","4","2850-57574","2022-06-02","4","4","4","Y","fledged","",1
"2850-57609","Cooks","F","6","2850-57577","2022-05-15","5","5","5","Y","fledged","apparently left the barn after 1st brood",1
"2850-57749","Cooks","F","13","2850-57675","2022-07-04","4","4","4","N","failed","all 4N found dead day 16 covered in mites",1
"2850-57672","Cooks","F","17","2850-57673","2022-06-01","4","4","4","Y","fledged","",1
"2850-57664","Cooks","F","27","2850-57676","2022-06-18","4","4","4","Y","fledged","",1
"2850-57853","Cooks","F","29","2850-57638","2022-05-13","5","5","5","Y","fledged","",1
"2850-57663","Cooks","F","31","2850-57573","2022-05-29","4","4","4","Y","fledged","ibutton nest",1
"2850-57700","Cooks","F","33","2870-64915","2022-07-06","4","4","4","Y","fledged","",1
"2811-83207","Dome House","F","1","2850-57643","2022-06-02","3","2","2","Y","fledged","",1
"2850-57741","Erica's","F","1","2811-00632","2022-05-22","3","3","0","N","predated","CI estimated",1
"2870-64912","James Ditch","F","unknown","2870-64913","unknown","unkown","unknown","unknown","unknown","unknown","nest not monitored, at least one attempt with 3E and 3N fledged",1
"2850-57660","Jays","F","2","2850-57636","2022-06-22","3+","0","0","N","unhatched","",1
"2850-57661","Karen's","F","1","2850-57662","2022-05-30","4","3","0","N","predated","ibutton",1
"2850-57874","Make Believe","F","8","2850-57875","2022-05-31","4","4","4","Y","fledged","",1
"2850-57878","Make Believe","F","13","2850-57877","2022-06-14","5","3","3","Y","fledged","",1
"2850-57576","Make Believe","F","14","2850-57518","2022-05-28","5","4","4","Y ","fledged","",1
"2850-57872","Make Believe","F","26","2850-57873","2022-05-30","4","4","4","Y","fledged","",1
"2850-57635","Make Believe","F","34","2850-57668","2022-05-31","5","4","4","Y","fledged","",1
"2850-57876","Make Believe","F","62","2850-57680","2022-06-10","4","0","0","N","unhatched","",1
"2640-97596","Make Believe","F","73","2350-21085","2022-05-16","5","5","5","Y","fledged","",1
"2850-57692","Marte's","F","1","2850-57691","unknown","unkown","unknown","3","Y","fledged","1st brood had 3 chicks (2 fledged), one chick died during nestling banding",1
"2850-57550","Mary Ann's","F","1","2870-64916","2022-07-29","4","4","1","N","failed ","estimated Ci; last N found dead D19",2
"2850-57640","McCauley","F","1","2850-57639","2022-05-23","2","2","2","Y","fledged","",1
"2850-57753","McCauley","F","4","2850-57752","2022-07-20","5","5","4","Y","fledged","possible that this nest was built early in the season when we weren't allowd to go upstairs in the barn. Possibly a true 2nd brood and we missed the 1st brood",1
"2850-57641","Sol y Sombra","F","2","2850-57642","2022-05-29","5","0","0","N","predated","",1
"2850-57698","Speedwell","F","1","unknkown","unknown","unkown","unknown","unknown","unknown","unknown","likely 1st clutch in same nest as 2nd brood but not monitored until later in the season. Saw 4 fledglings flying around during adult captures",1
"2850-57551","Struthers","F","10","2850-57552","2022-05-11","5","5","5","Y","fledged","",1
"2850-57645","Struthers","F","22","2850-57674","2022-06-10","5","0","0","N","unhatched","",1
"2850-57683","Struthers","F","23","2850-57684","2022-07-03","4","0","0","N","unhatched","",1
"2850-57608","Urban Farm Girlz","F","2","2850-57899","2022-05-20","4","3","3","Y","fledged","",1
"2850-57629","Urban Farm Girlz","F","8","2850-57868","2022-06-11","4","3","3","Y","fledged","",1
