band,site,sex,date_captured,rwl1,rwl2,rwl3,intact_lts,intact_rts,lts1,lts2,lts3,rts1,rts2,rts3,mass_1,mass_2,mass_2_date,mass_3,mass_3_date,nest_1,mate_band_1,ci_1,eggs_1,nest_2,mate_band_2,ci_2,eggs_2,nest_3,mate_band_3,ci_3,eggs_3,nest_4,mate_band_4,ci_4,eggs_4,throat_avg_bright,throat_chroma,throat_hue,throat_total_bright,breast_avg_bright,breast_chroma,breast_hue,breast_total_bright,belly_avg_bright,belly_chroma,belly_hue,belly_total_bright,vent_avg_bright,vent_chroma,vent_hue,vent_total_bright,bird_notes,year,julian_ci_1,julian_ci_2,julian_ci_3,julian_ci_4,mean_rwl,mean_rts,mean_lts
2640-97331,Colorado Horse Rescue,F?,2022-06-17,119,119,119,Y,Y,79,79,79,80,80,79.5,16.76,NA,NA,NA,NA,29,2850-57808,2022-05-18,5,27,2850-57808,2022-07-05,4,NA,,NA,NA,NA,,NA,NA,9.83579096,0.544014282,674.104,19730.59667,18.81945995,0.511323939,633.7533333,37751.83667,19.5594101,0.486640052,616.7373333,39236.17667,18.82038717,0.496634551,652.7723333,37753.69667,mud on bill; ; ,2022,138,186,NA,NA,119,79.83333333,79
2640-97358,Colorado Horse Rescue,F,2022-06-17,115,115,115,Y,Y,76.5,76.5,76.5,73,73,73,16.83,NA,NA,NA,NA,32,2850-57731,2022-05-13,5,109,2850-57731,2022-07-01,4,32.2,2850-57731,2022-08-11,3,NA,,NA,NA,13.77641409,0.537489733,659.167,27635.48667,19.740555,0.495234064,642.151,39599.55333,21.14287305,0.469501946,651.4403333,42412.60333,22.67428049,0.46988128,671.7466667,45484.60667,; ; ,2022,133,182,223,NA,115,73,76.5
2640-97588,Colorado Horse Rescue,M,2022-07-11,119,119,119,Y,Y,85,85,85,87,87,87,18.7,18.94,2022-07-21,NA,NA,93,2850-57730,2022-05-14,5,93.2,2850-57730,2022-07-01,5,NA,,NA,NA,NA,,NA,NA,11.85018943,0.544837496,653.7273333,23771.48,14.45612662,0.507893605,610.6836667,28998.99,21.21705716,0.471668493,610.6836667,42561.41667,27.50362745,0.462396686,637.0386667,55172.27667,; ; ,2022,134,182,NA,NA,119,87,85
2640-97589,Colorado Horse Rescue,M,2022-06-17,119,119,119,Y,Y,98,98,98,99.5,99.5,100,16.1,NA,NA,NA,NA,102,2811-38984,2022-05-16,5,102.2,2811-38984,2022-07-04,5,NA,,NA,NA,NA,,NA,NA,11.8153556,0.523609389,681.183,23701.60333,16.91354271,0.528785659,657.7393333,33928.56667,18.6526321,0.480672665,627.3723333,37417.18,20.65218677,0.48363622,650.113,41428.28667,tail streamers curled; ; ,2022,136,185,NA,NA,119,99.66666667,98
2811-38984,Colorado Horse Rescue,F,2022-06-17,116,116,116,Y,Y,81.5,81.5,81.5,81.5,81.5,81.5,15.8,17.89,2022-07-21,NA,NA,102,2640-97589,2022-05-16,5,102.2,2640-97589,2022-07-04,5,NA,,NA,NA,NA,,NA,NA,14.51881356,0.515995203,679.458,29124.74,20.07807245,0.466369752,606.3786667,40276.61333,23.66085577,0.458228381,627.3723333,47463.67667,25.18879362,0.489744034,662.7626667,50528.72,; ; ,2022,136,185,NA,NA,116,81.5,81.5
2811-82969,Colorado Horse Rescue,M,2022-06-17,122,122,122,Y,N,71.5,71.5,71.5,NA,NA,NA,17.85,NA,NA,NA,NA,85,2850-57882,2022-05-30,NA,,,NA,NA,NA,,NA,NA,NA,,NA,NA,17.64881024,0.498102494,611.004,35403.51333,26.15807079,0.471993495,611.004,52473.09,22.53324859,0.491848923,611.004,45201.69667,23.19092223,0.473580392,611.004,46520.99,missing RTS; ; ,2022,150,NA,NA,NA,122,NA,71.5
2811-83208,Colorado Horse Rescue,M,2022-06-20,118,118,118,Y,Y,89.5,89.5,89.5,87,87,87,16.9,NA,NA,NA,NA,4,2850-57585,2022-05-31,4,4.2,2850-57585,2022-07-19,4,NA,,NA,NA,NA,,NA,NA,18.73416916,0.484585352,611.004,37580.74333,21.00459455,0.486882121,610.6836667,42135.21667,26.39878531,0.450512144,610.6836667,52955.96333,23.23742606,0.475660646,611.004,46614.27667,LTS curled inward; ; ,2022,151,200,NA,NA,118,87,89.5
2811-83409,Colorado Horse Rescue,F,2022-06-20,112,112,112,Y,Y,73,73.5,73,73,73,73,16.9,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,,NA,NA,NA,,NA,NA,13.07540379,0.52809376,677.7843333,26229.26,35.11587238,0.427162013,626.04,70442.44,35.97691093,0.422069153,597.723,72169.68333,30.50786972,0.441458139,609.7223333,61198.78667,not assigned to any nest as of 8/3/22; ; not assigned to any nest as of 8/3/22,2022,NA,NA,NA,NA,112,73,73.16666667
2850-57567,Colorado Horse Rescue,M,2022-06-17,121.5,121.5,121.5,Y,Y,102.5,102.5,102.5,102,102.5,102,16.6,NA,NA,NA,NA,43,2850-57736,2022-05-29,5,,,NA,NA,NA,,NA,NA,NA,,NA,NA,10.56012296,0.52180729,667.1156667,21183.60667,26.35612994,0.49271154,611.3883333,52870.39667,22.28285809,0.48721335,606.0566667,44699.41333,16.73888169,0.511359264,628.0706667,33578.19667,; ; ,2022,149,NA,NA,NA,121.5,102.1666667,102.5
2850-57568,Colorado Horse Rescue,F,2022-06-17,118,118,118,N,Y,NA,NA,NA,79.5,79.5,79.5,15.37,NA,NA,NA,NA,96,2850-57806,2022-05-18,5,96.2,2850-57806,2022-07-10,5,NA,,NA,NA,NA,,NA,NA,15.13231971,0.50506128,659.167,30355.43333,25.47213526,0.452418429,642.151,51097.10333,23.5398787,0.430572869,625.7763333,47220.99667,23.32200897,0.497056741,659.167,46783.95,; ; ,2022,138,191,NA,NA,118,79.5,NA
